prompt,completion
StrtDt,StartDate
Orign,Origin
F_Name,FirstName
ChrgLvlID,ChargerLevelId
WindDir,WindDirection
Yr,Year
EyeWr,EYEWEAR
Surfc_Wtr,SurfaceWater
Rels_ID,Release_ID
Site_Descr,SiteDescription
Cls,CLASS
AdaptvDrvngBm,AdaptiveDrivingBeam
Dat,Date
Call_Idx,CallIndex
BLT_GUID,BELTGUIDE
Cty,City
AltName,Alternate_Name
Ld_Path_alt1,LOADPATH1_ALT
Plt,Plot
Mtls,Metals
Stn_ID,Station_ID
FUEL_LK,FUELEAK
Lab_ID_Prev,Lab_ID_Previous
Revn_Date,Revision_Date
BagStat,BAGSTATUS
EvntID,EventID
Clds,Clouds
Mortlty,MORTALITY
EngElectLevel,EngineElectrificationLevel
Manvr,MANEUVER
Grp,Group
HABIT_CD,HABITAT CODES
Brake_Sys_Typ,BrakeSystemType
Paste_Err,Paste Errors
Val_Old,Value_Old
AutoPedAlertSoundID,AutoPedestrianAlertingSoundID
SuperFam,Superfamily
SrtID,SortID
VERS,VERSION
Condtn,Condition
Species_Cd,Species_Code
Tg,Tag
BagLoc,BAGLOCATION
vers,version
tluWeath,tluWeather
Fam,Family
FACTR5,FACTOR5
NativityDet,NativityDetails
LndUse,LandUse
CHLDSTNO,CHILDSEATNO
FLLCP,FILLCAP
EngModel,EngineModel
DTH,DEATH
Trp#,Trap #
CaseNum,CASENUMBER
Dt_Chng,Date_Change
Posn_Title,Position_Title
LTCH_TETH,LATCHTETHER
Crosswlk_Init_Yr,Crosswalk_Initial_Year
CovClss,CoverClass
FR,FIRE
NumObsrvd,Number Observed
Obsrvr,Observer
Upload_Dt,Upload_Date
MX_WDTH,MAXWIDTH
Hrb,Herb
Invt Ord,Invert Order
Rel_By,Release_by
FwdCollisWarning,ForwardCollisionWarning
Sapl_ID,Saplings_ID
Agncy/Ttl,Agency/Title
Qualfr,Qualifier
Defntn,definition
BlndSpotIntervntID,BlindSpotInterventionId
SnkID,SnakeID
Update_dt,Updated_date
SbSpcs,subspecies
Strng_loc_id,SteeringLocationId
Weath,Weather
SubWtrShd,Subwatershed
Trb,Tribe
EngCoolingTyp,EngineCoolingType
Lname,LastName
GrossCbnWtRtngTo,GrossCombWeightRatingTo
Sx,Sex
BagTyp,BAGTYPE
CultCode,CultivationCode
Hgs,Hogs
SysDiag,sysdiagrams
RET_CLIP_USE,RETAINERCLIPUSE
FUELTP,FUELTYPE
OldPlt,OldPlot
LnCenteringAssist,LaneCenteringAssistance
CvrClass_Txt,CoverClass_Text
StBltTtpe,SeatBeltType
SupClss,Superclass
ROLL_TYP,ROLLTYPE
Rsn,Reason
St_ID,Site_ID
PK_CD,PARKCODE
CSE1,CAUSE1
EngCoolingTypID,EngineCoolingTypeId
LtchDesn,LATCHDESIGN
Mnth,Month
Stime,StartTime
Rtng,Rating
Plastrn_wd,Plastron Width
RL,ROLE
Revn_Contc_ID,Revision_Contact_ID
EngElectrifictnLvlID,EngineElectrificationLevelId
WEATH,WEATHER
PkAsst,ParkAssist
Updt_Cmmnts,Update_Comments
Slide_pos,Slide_Position
PlntState,PlantState
tluCaptMethd,tluCaptureMethod
Clr,Color
FuelTypSecon,FuelTypeSecondary
Pastron_len,Plastron Length
Crsswlk_nts,Crosswalk_Notes
SCIENTFC_NM,SCIENTIFIC NAME
Fnd_by,Found_by
MK,MAKE
One_hlf_mtr,One_half_meter
Phlm,Phylum
AdaptvDrvngBmID,AdaptiveDrivingBeamId
Abundc,Abundance
AntLkBrakeSys,AntilockBrakeSystem
AG,AGE
Abundc_Det,AbundanceDetails
ACTVT,ACTIVATE
BagMalfn,BAGMALFUNCTION
BgDmg,BAGDAMAGE
BLT_ROUT,BELTROUT
AntLkBrakeSysID,AntilockBrakeSystemId
Authr,Author
BagFlpOpn,BAGFLAPSOPEN
BLT_ANCH,BELTANCHOR
ADDRS,ADDRESS
BgDepl,BAGDEPLOY
AxleCt,AxlesCount
Aspct,Aspect
Abundc_txt,AbundanceText
Abundc_ID,AbundanceID
Auth_Eml,Author_email
AutoPedAlertSound,AutoPedestrianAlertingSound
ALIGNM,ALIGNMENT
AG,Age
AltType,Alternate_Type
Acc_Notes,Accuracy_Notes
AxleConfigID,AxleConfigurationId
ADDRS2,ADDRESS2
Assoc_Obsrv,Association_observed
AxleConfig,AxleConfiguration
BackTnk,BACKTRUNK
AutoRevSyst,AutoReverseSystem
AdaptvCrsCntrlID,AdaptiveCruiseControlId
Addrs2,Address2
AutoCrshNotifID,AutomaticCrashNotificationId
Auth_Phn,Author_phone
BackLt,BACKLIGHT
BLT_USE,BELTUSE
BackPkp,BACKPICKUP
AutoRevSyst_ID,AutoReverseSystemId
Addrs_typ,Address_Type
Aggrcltr,Agriculture
ADPT,ADAPT
AutoCrshNotif,AutomaticCrashNotification
Actvty,Activity
AdaptvCrsCntrl,AdaptiveCruiseControl
Addrs,Address
