prompt,completion
StartDate,StrtDt
Origin,Orign
FirstName,F_Name
ChargerLevelId,ChrgLvlID
WindDirection,WindDir
Year,Yr
EYEWEAR,EyeWr
SurfaceWater,Surfc_Wtr
Release_ID,Rels_ID
SiteDescription,Site_Descr
CLASS,Cls
AdaptiveDrivingBeam,AdaptvDrvngBm
Date,Dat
CallIndex,Call_Idx
BELTGUIDE,BLT_GUID
City,Cty
Alternate_Name,AltName
LOADPATH1_ALT,Ld_Path_alt1
Plot,Plt
Metals,Mtls
Station_ID,Stn_ID
FUELEAK,FUEL_LK
Lab_ID_Previous,Lab_ID_Prev
Revision_Date,Revn_Date
BAGSTATUS,BagStat
EventID,EvntID
Clouds,Clds
MORTALITY,Mortlty
EngineElectrificationLevel,EngElectLevel
MANEUVER,Manvr
Group,Grp
HABITAT CODES,HABIT_CD
BrakeSystemType,Brake_Sys_Typ
Paste Errors,Paste_Err
Value_Old,Val_Old
AutoPedestrianAlertingSoundID,AutoPedAlertSoundID
Superfamily,SuperFam
SortID,SrtID
VERSION,VERS
Condition,Condtn
Species_Code,Species_Cd
Tag,Tg
BAGLOCATION,BagLoc
version,vers
tluWeather,tluWeath
Family,Fam
FACTOR5,FACTR5
NativityDetails,NativityDet
LandUse,LndUse
CHILDSEATNO,CHLDSTNO
FILLCAP,FLLCP
EngineModel,EngModel
DEATH,DTH
Trap #,Trp#
CASENUMBER,CaseNum
Date_Change,Dt_Chng
Position_Title,Posn_Title
LATCHTETHER,LTCH_TETH
Crosswalk_Initial_Year,Crosswlk_Init_Yr
CoverClass,CovClss
FIRE,FR
Number Observed,NumObsrvd
Observer,Obsrvr
Upload_Date,Upload_Dt
MAXWIDTH,MX_WDTH
Herb,Hrb
Invert Order,Invt Ord
Release_by,Rel_By
ForwardCollisionWarning,FwdCollisWarning
Saplings_ID,Sapl_ID
Agency/Title,Agncy/Ttl
Qualifier,Qualfr
definition,Defntn
BlindSpotInterventionId,BlndSpotIntervntID
SnakeID,SnkID
Updated_date,Update_dt
subspecies,SbSpcs
SteeringLocationId,Strng_loc_id
Weather,Weath
Subwatershed,SubWtrShd
Tribe,Trb
EngineCoolingType,EngCoolingTyp
LastName,Lname
GrossCombWeightRatingTo,GrossCbnWtRtngTo
Sex,Sx
BAGTYPE,BagTyp
CultivationCode,CultCode
Hogs,Hgs
sysdiagrams,SysDiag
RETAINERCLIPUSE,RET_CLIP_USE
FUELTYPE,FUELTP
OldPlot,OldPlt
LaneCenteringAssistance,LnCenteringAssist
CoverClass_Text,CvrClass_Txt
SeatBeltType,StBltTtpe
Superclass,SupClss
ROLLTYPE,ROLL_TYP
Reason,Rsn
Site_ID,St_ID
PARKCODE,PK_CD
CAUSE1,CSE1
EngineCoolingTypeId,EngCoolingTypID
LATCHDESIGN,LtchDesn
Month,Mnth
StartTime,Stime
Rating,Rtng
Plastron Width,Plastrn_wd
ROLE,RL
Revision_Contact_ID,Revn_Contc_ID
EngineElectrificationLevelId,EngElectrifictnLvlID
WEATHER,WEATH
ParkAssist,PkAsst
Update_Comments,Updt_Cmmnts
Slide_Position,Slide_pos
PlantState,PlntState
tluCaptureMethod,tluCaptMethd
Color,Clr
FuelTypeSecondary,FuelTypSecon
Plastron Length,Pastron_len
Crosswalk_Notes,Crsswlk_nts
SCIENTIFIC NAME,SCIENTFC_NM
Found_by,Fnd_by
MAKE,MK
One_half_meter,One_hlf_mtr
Phylum,Phlm
AdaptiveDrivingBeamId,AdaptvDrvngBmID
Abundance,Abundc
AntilockBrakeSystem,AntLkBrakeSys
AGE,AG
AbundanceDetails,Abundc_Det
ACTIVATE,ACTVT
BAGMALFUNCTION,BagMalfn
BAGDAMAGE,BgDmg
BELTROUT,BLT_ROUT
AntilockBrakeSystemId,AntLkBrakeSysID
Author,Authr
BAGFLAPSOPEN,BagFlpOpn
BELTANCHOR,BLT_ANCH
ADDRESS,ADDRS
BAGDEPLOY,BgDepl
AxlesCount,AxleCt
Aspect,Aspct
AbundanceText,Abundc_txt
AbundanceID,Abundc_ID
Author_email,Auth_Eml
AutoPedestrianAlertingSound,AutoPedAlertSound
ALIGNMENT,ALIGNM
Age,AG
Alternate_Type,AltType
Accuracy_Notes,Acc_Notes
AxleConfigurationId,AxleConfigID
ADDRESS2,ADDRS2
Association_observed,Assoc_Obsrv
AxleConfiguration,AxleConfig
BACKTRUNK,BackTnk
AutoReverseSystem,AutoRevSyst
AdaptiveCruiseControlId,AdaptvCrsCntrlID
Address2,Addrs2
AutomaticCrashNotificationId,AutoCrshNotifID
Author_phone,Auth_Phn
BACKLIGHT,BackLt
BELTUSE,BLT_USE
BACKPICKUP,BackPkp
AutoReverseSystemId,AutoRevSyst_ID
Address_Type,Addrs_typ
Agriculture,Aggrcltr
ADAPT,ADPT
AutomaticCrashNotification,AutoCrshNotif
Activity,Actvty
AdaptiveCruiseControl,AdaptvCrsCntrl
Address,Addrs
