prompt,completion
StrtDt,s_dt
Orign,Orgn
F_Name,FNM
ChrgLvlID,C_LV_ID
WindDir,W_Dr
Yr,y
EyeWr,E_wr
Surfc_Wtr,S_wtr
Rels_ID,R_ID
Site_Descr,S_Dscr
Cls,Cl
AdaptvDrvngBm,AdpBm
Dat,Dt
Call_Idx,Cl_ix
BLT_GUID,B_GD
Cty,cy
AltName,AltNm
Ld_Path_alt1,Ld_p_a1
Plt,p
Mtls,mt
Stn_ID,S_ID
FUEL_LK,F_Lk
Lab_ID_Prev,LID_P
Revn_Date,R_dt
BagStat,BG_S
EvntID,E_ID
Clds,Cd
Mortlty,Mort
EngElectLevel,EngElLvl
Manvr,Mvr
Grp,G
HABIT_CD,H_CD
Brake_Sys_Typ,B_SYS_T
Paste_Err,P_err
Val_Old,V_Old
AutoPedAlertSoundID,A_PED_ALRT_ID
SuperFam,S_fam
SrtID,S_ID
VERS,V
Condtn,Cond
Species_Cd,Spec_C
Tg,T
BagLoc,BG_L
vers,v
tluWeath,t_wth
Fam,fm
FACTR5,FCT_5
NativityDet,Nat_Det
LndUse,L_Us
CHLDSTNO,C_SN
FLLCP,F_CP
EngModel,E_Mod
DTH,DT
Trp#,T_#
CaseNum,C_NUM
Dt_Chng,D_Ch
Posn_Title,P_Titl
LTCH_TETH,L_THR
Crosswlk_Init_Yr,xWlk_IN_Y
CovClss,C_Cls
FR,F
NumObsrvd,N_Obs
Obsrvr,Obsv
Upload_Dt,Upl_Dt
MX_WDTH,M_WD
Hrb,Hb
Invt Ord,I_Ord
Rel_By,R_by
FwdCollisWarning,FCWrn
Sapl_ID,S_ID
Agncy/Ttl,Agc_T
Qualfr,Qlr
Defntn,Dfn
BlndSpotIntervntID,BS_Ivn_ID
SnkID,s_ID
Update_dt,U_dt
SbSpcs,S_sp
Strng_loc_id,slocID
Weath,Wx
SubWtrShd,SWS
Trb,Tr
EngCoolingTyp,ECT
Lname,LNm
GrossCbnWtRtngTo,GCWR_T
Sx,S
BagTyp,BG_T
CultCode,C_Cd
Hgs,H
SysDiag,S_Diag
RET_CLIP_USE,RCU
FUELTP,F_TP
OldPlt,O_Pl
LnCenteringAssist,LCA
CvrClass_Txt,CC_T
StBltTtpe,SBTyp
SupClss,S_CLS
ROLL_TYP,R_TP
Rsn,R
St_ID,S_ID
PK_CD,P_C
CSE1,C_1
EngCoolingTypID,ECT_ID
LtchDesn,L_DES
Mnth,M
Stime,S_tm
Rtng,Rg
Plastrn_wd,P_Wd
RL,R
Revn_Contc_ID,Rcon_ID
EngElectrifictnLvlID,EEL_ID
WEATH,WX
PkAsst,P_asst
Updt_Cmmnts,U_cmt
Slide_pos,s_pos
PlntState,P_Stat
tluCaptMethd,tlu_Cpt_mth
Clr,cl
FuelTypSecon,FT_Sec
Pastron_len,P_len
Crsswlk_nts,CW_Nt
SCIENTFC_NM,SC_NM
Fnd_by,F_By
MK,M
One_hlf_mtr,OHM
Phlm,Pm
AdaptvDrvngBmID,AdpBmID
Abundc,Abnc
AntLkBrakeSys,ABS
AG,T_A
Abundc_Det,Ab_dt
ACTVT,ACT
BagMalfn,BG_M
BgDmg,B_D
BLT_ROUT,B_RT
AntLkBrakeSysID,ABS_ID
Authr,Au_t
BagFlpOpn,BG_F_O
BLT_ANCH,B_ANC
ADDRS,ADR
BgDepl,B_Dep
AxleCt,Ax_c
Aspct,T_As
Abundc_txt,AbTx
Abundc_ID,AbID
Auth_Eml,Au_em
AutoPedAlertSound,A_PED_ALRT
ALIGNM,ALN
AG,T_A
AltType,AltTp
Acc_Notes,Ac_Nts
AxleConfigID,Ax_Conf_ID
ADDRS2,ADR_2
Assoc_Obsrv,Asc_Obs
AxleConfig,Ax_Conf
BackTnk,B_Tn
AutoRevSyst,A_REV
AdaptvCrsCntrlID,AdpCrsID
Addrs2,Adr2
AutoCrshNotifID,A_CRS_NOT_ID
Auth_Phn,Au_P
BackLt,BkLt
BLT_USE,B_USE
BackPkp,BK_PU
AutoRevSyst_ID,A_REV_ID
Addrs_typ,Adr_t
Aggrcltr,Agg
ADPT,AD
AutoCrshNotif,A_CRS_NOT
Actvty,actv
AdaptvCrsCntrl,AdpCrs
Addrs,Adr
